ID,Pincode,City,District,State
1,110001,New Delhi,Central Delhi,DELHI
2,110002,New Delhi,Central Delhi,DELHI
3,110003,Delhi,Central Delhi,DELHI
4,110004,New Delhi,Central Delhi,DELHI
5,110005,New Delhi,Central Delhi,DELHI
6,110006,Delhi,Central Delhi,DELHI
7,110007,Delhi,North Delhi,DELHI
8,110008,New Delhi,Central Delhi,DELHI
9,110009,Delhi,North West Delhi,DELHI
10,110010,N/A,South West Delhi,DELHI
11,110011,New Delhi,Central Delhi,DELHI
12,110012,New Delhi,Central Delhi,DELHI
13,110013,New Delhi,South Delhi,DELHI
14,110014,New Delhi,South Delhi,DELHI
15,110015,New Delhi,West Delhi,DELHI
16,110016,N/A,South West Delhi,DELHI
17,110017,New Delhi,South Delhi,DELHI
18,110018,New Delhi,West Delhi,DELHI
19,110019,New Delhi,South Delhi,DELHI
20,110020,New Delhi,New Delhi,DELHI
21,110021,N/A,South West Delhi,DELHI
22,110022,N/A,South West Delhi,DELHI
23,110023,Delhi,South West Delhi,DELHI
24,110024,New Delhi,South Delhi,DELHI
25,110025,New Delhi,South Delhi,DELHI
26,110026,New Delhi,West Delhi,DELHI
27,110027,New Delhi,West Delhi,DELHI
28,110028,New Delhi,South West Delhi,DELHI
29,110029,New Delhi,New Delhi,DELHI
30,110030,N/A,South West Delhi,DELHI
31,110031,N/A,East Delhi,DELHI
32,110032,N/A,East Delhi,DELHI
33,110033,Delhi,North West Delhi,DELHI
34,110034,Delhi,North West Delhi,DELHI
35,110035,Delhi,North West Delhi,DELHI
36,110036,Delhi,North West Delhi,DELHI
37,110037,N/A,South West Delhi,DELHI
38,110038,N/A,South West Delhi,DELHI
39,110039,Delhi,North West Delhi,DELHI
40,110040,Delhi,North West Delhi,DELHI
41,110041,New Delhi,West Delhi,DELHI
42,110042,Delhi,North West Delhi,DELHI
43,110043,New Delhi,South West Delhi,DELHI
44,110044,New Delhi,South Delhi,DELHI
45,110045,New Delhi,South West Delhi,DELHI
46,110046,New Delhi,South West Delhi,DELHI
47,110047,N/A,South West Delhi,DELHI
48,110048,New Delhi,South Delhi,DELHI
49,110049,New Delhi,South Delhi,DELHI
50,110051,N/A,East Delhi,DELHI
51,110052,Delhi,North West Delhi,DELHI
52,110053,N/A,East Delhi,DELHI
53,110054,Delhi,North Delhi,DELHI
54,110055,New Delhi,Central Delhi,DELHI
55,110056,Delhi,North West Delhi,DELHI
56,110057,N/A,South West Delhi,DELHI
